Country,Year,Variable,Unit,Value
Brazil,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.252747433
Brazil,2012,Carbon Intensity,tonne CO2-eq per Megajoule,53.81729311
Brazil,2012,Energy Consumption per Capita,Gigajoules per capita,48.94412818
Brazil,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,3.257982525
Brazil,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.175335801
Brazil,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,523.4946408
Brazil,2017,Fossil Fuel Consumption,Exajoules,7.057609916
Brazil,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.279875451
Brazil,2017,Carbon Intensity,tonne CO2-eq per Megajoule,52.14624011
Brazil,2017,Energy Consumption per Capita,Gigajoules per capita,49.04153875
Brazil,2017,Economy-wide Energy Intensity,Megajoules per $ GDP,3.458334831
Brazil,2017,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.180339158
Brazil,2024,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,515.5947806
Brazil,2024,Fossil Fuel Consumption,Exajoules,6.801042557
Brazil,2024,Renewable Energy Consumption,Share of Total Energy Consumption,0.349210553
Brazil,2024,Carbon Intensity,tonne CO2-eq per Megajoule,48.11929761
Brazil,2024,Energy Consumption per Capita,Gigajoules per capita,50.54245036
Brazil,2024,Economy-wide Energy Intensity,Megajoules per $ GDP,3.226617077
Brazil,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.155262547
Brazil,2024,Wind,Share of Generation Mix,0.145489019
Brazil,2024,Solar,Share of Generation Mix,0.095640067
Brazil,2024,Hydro,Share of Generation Mix,0.554118111
Brazil,2024,Other Renewables,Share of Generation Mix,0.078093569
Brazil,2024,Nuclear,Share of Generation Mix,0.021157681
Brazil,2024,Gas,Share of Generation Mix,0.065383557
Brazil,2024,Oil,Share of Generation Mix,0.014272921
Brazil,2024,Coal ,Share of Generation Mix,0.02173098
Brazil,2024,Other non-Renewable,Share of Generation Mix,0.004114095
Bulgaria,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,77.98833963
Bulgaria,1990,Fossil Fuel Consumption,Exajoules,1.000714034
Bulgaria,1990,Renewable Energy Consumption,Share of Total Energy Consumption,0.005030158
Bulgaria,1990,Carbon Intensity,tonne CO2-eq per Megajoule,66.85304004
Bulgaria,1990,Energy Consumption per Capita,Gigajoules per capita,132.2280191
Bulgaria,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,16.96207534
Bulgaria,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,1.133966302
Bulgaria,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,53.47254449
Bulgaria,2008,Fossil Fuel Consumption,Exajoules,0.64602945
