Year,HS2,Value,TotalValue,Share,ShareSquared
2015,15,273335.283,131877885.882,0.002072639253897135,4.295833476795272e-06
2015,16,134897.027,131877885.882,0.0010228934600961183,1.0463110307074091e-06
2015,17,7223.147999999999,131877885.882,5.4771487665968765e-05,2.9999158611433686e-09
2015,18,72418.104,131877885.882,0.0005491300039856367,3.0154376127726535e-07
2015,19,28850.817,131877885.882,0.00021876918034472256,4.7859954268701746e-08
2015,20,4715.124,131877885.882,3.575371237160215e-05,1.2783279483512568e-09
2015,21,6928.215,131877885.882,5.253507783859334e-05,2.7599344035070615e-09
2015,22,43855.629,131877885.882,0.0003325472554150631,1.1058767708409122e-07
2015,23,193563.054,131877885.882,0.0014677445934581773,2.1542741916257104e-06
2015,24,38081.811,131877885.882,0.00028876570734591813,8.338563373898844e-08
2015,25,1008777.5769999999,131877885.882,0.007649330820351647,5.85122619991816e-05
2015,26,2265404.451,131877885.882,0.017178046462065742,0.00029508528025288936
2015,27,75609640.09,131877885.882,0.5733306959261769,0.32870808689119435
2015,28,1843057.163,131877885.882,0.013975483081743569,0.00019531412736810072
2015,29,906624.5759999999,131877885.882,0.0068747278585525535,4.7261883129158575e-05
2015,30,1328.3790000000001,131877885.882,1.007279568606817e-05,1.0146121293327354e-10
2015,31,2476572.699,131877885.882,0.018779287235586684,0.00035266162907666895
2015,32,4258.29,131877885.882,3.2289644101590906e-05,1.0426211162074045e-09
2015,33,2868.54,131877885.882,2.17514860874148e-05,4.731271470109996e-10
2015,34,2832.996,131877885.882,2.1481964023406258e-05,4.614747783029208e-10
2015,37,5.901,131877885.882,4.4745940235044565e-08,2.00219916751818e-15
2015,38,52499.28,131877885.882,0.0003980900940964024,1.5847572301768252e-07
2015,39,1122644.587,131877885.882,0.008512758446890069,7.246705637509822e-05
2015,40,407312.352,131877885.882,0.003088556881814512,9.539183612203783e-06
2015,41,49626.176,131877885.882,0.00037630400023551993,1.4160470059325417e-07
2015,42,63.602999999999994,131877885.882,4.822870762192069e-07,2.3260082388807105e-13
2015,43,22325.757,131877885.882,0.00016929113513372785,2.8659488434866102e-08
2015,44,9698455.508,131877885.882,0.07354118124609503,0.005408305339070999
2015,47,2120992.3260000004,131877885.882,0.01608300217898393,0.0002586629590892019
2015,48,226358.49000000002,131877885.882,0.0017164249220869233,2.9461145131611007e-06
2015,49,136766.72400000002,131877885.882,0.0010370709469999723,1.0755161491114195e-06
2015,50,15692.869,131877885.882,0.00011899545473485574,1.4159918247555101e-08
2015,51,36264.141,131877885.882,0.0002749827293443873,7.561550143768856e-08
2015,52,195.618,131877885.882,1.4833267813758598e-06,2.2002583403468677e-12
2015,53,3133.917,131877885.882,2.376377949221999e-05,5.647172157548553e-10
2015,54,2136.321,131877885.882,1.6199236025905887e-05,2.6241524782300714e-10
2015,55,709.74,131877885.882,5.381796919576433e-06,2.8963738083562385e-11
2015,56,11.985000000000001,131877885.882,9.087952782867467e-08,8.259088578362854e-15
2015,57,262.017,131877885.882,1.986815289368865e-06,3.947434994069887e-12
2015,58,1.23,131877885.882,9.326810115083007e-09,8.698938692281469e-17
2015,59,41.147999999999996,131877885.882,3.120159208255573e-07,9.735393484862045e-14
2015,61,506.202,131877885.882,3.83841458038638e-06,1.4733426490922754e-11
2016, T,29953376.571,137039752.553,0.2185743626428073,0.04777475200470944
2016,01,1078685.0469999998,137039752.553,0.007871329500414992,6.195782810410333e-05
2016,02,193.125,137039752.553,1.409262614695025e-06,1.9860211171770584e-12
2016,03,3098757.352,137039752.553,0.022612105569889716,0.0005113073183038375
2016,04,13093.151,137039752.553,9.554272213776974e-05,9.128411753495075e-09
2016,05,36646.104,137039752.553,0.000267412216654632,7.150929361614386e-08
2016,06,358544.488,137039752.553,0.0026163538777650174,6.845307613696044e-06
2016,07,6330.138,137039752.553,4.619198358193054e-05,2.1336993472333406e-09
2016,08,25835.328999999998,137039752.553,0.00018852434070185735,3.554142703706999e-08
2016,09,1371.999,137039752.553,1.0011686203748657e-05,1.002338606423312e-10
2016,10,33767.223,137039752.553,0.0002464045823998446,6.071521822764181e-08
2016,11,54007.164000000004,137039752.553,0.00039409852246422277,1.553136454084835e-07
2016,12,434087.935,137039752.553,0.003167605945815736,1.0033727427967204e-05
2016,13,35.454,137039752.553,2.5871325173539115e-07,6.693254662349988e-14
2016,14,2608.0589999999997,137039752.553,1.9031404766958664e-05,3.621943674038169e-10
2016,15,517590.155,137039752.553,0.0037769343957317967,1.4265233429661913e-05
2016,16,210305.13999999998,137039752.553,0.001534628719638593,2.355085307139587e-06
2016,17,19723.571,137039752.553,0.00014392590932599595,2.0714667375314807e-08
2016,18,198609.32,137039752.553,0.0014492825351767038,2.1004198667682137e-06
