t,i,j,k,v,q
2017,156,643,291512,19842.51,43930.473
2017,156,643,291513,112.129,29.431
2017,156,643,291521,1169.112,3020.624
2017,156,643,291529,2649.586,2867.515
2017,156,643,291531,1984.391,2445.399
2017,156,643,291532,2403.129,2987.342
2017,156,643,291533,65.871,81.7
2017,156,643,291539,7562.596,6785.482
2017,156,643,291540,3899.616,6484.768
2017,156,643,291550,1126.674,872.155
2017,156,643,291560,531.179,205.498
2017,156,643,291570,1544.993,844.767
2017,156,643,291590,358.859,94.186
2017,156,643,291611,65.128,50.684
2017,156,643,291612,257.029,94.059
2017,156,643,291614,802.417,170.812
2017,156,643,291615,190.045,157.254
2017,156,643,291619,11406.961,3726.901
2017,156,643,291620,751.437,23.554
2017,156,643,291631,2714.591,2395.49
2017,156,643,291632,1035.455,389.535
2017,156,643,291634,0.984,0.2
2017,156,643,291639,3382.991,601.442
2017,156,643,291711,1611.484,2597.977
2017,156,643,291712,5181.454,3839.592
2017,156,643,291713,2200.504,482.698
2017,156,643,291714,1680.529,1562.266
2017,156,643,291719,1446.662,732.134
2017,156,643,291720,3299.275,1511.856
2017,156,643,291732,439.653,396.03
2017,156,643,291733,3232.403,1886.438
2017,156,643,291734,960.404,1326.998
2017,156,643,291735,300.825,257.602
2017,156,643,291736,55261.414,83709.615
2017,156,643,291739,3496.16,2270.952
2017,156,643,291811,5162.276,5676.878
2017,156,643,291812,9855.802,4671.782
